epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step,valBinaryAccuracy_epoch,valBinaryAccuracy_step,val_loss_epoch,val_loss_step
,17,,1.0,,0.4878346920013428,,,,,,,,
,18,,1.0,,0.46312808990478516,,,,,,,,
,19,,1.0,,0.4666129946708679,,,,,,,,
,20,,1.0,,0.4752538800239563,,,,,,,,
,21,,1.0,,0.4793897271156311,,,,,,,,
,22,,1.0,,0.47412827610969543,,,,,,,,
,23,,1.0,,0.4834747314453125,,,,,,,,
,24,,1.0,,0.4677588939666748,,,,,,,,
,25,,1.0,,0.4695667326450348,,,,,,,,
,26,,1.0,,0.4777642488479614,,,,,,,,
,27,,1.0,,0.49091216921806335,,,,,,,,
,28,,1.0,,0.4818741977214813,,,,,,,,
,29,,1.0,,0.45277053117752075,,,,,,,,
,30,,1.0,,0.4719891846179962,,,,,,,,
,31,,1.0,,0.4613206088542938,,,,,,,,
,32,,1.0,,0.4623800218105316,,,,,,,,
,33,,1.0,,0.47357654571533203,,,,,,,,
,34,,1.0,,0.4592607915401459,,,,,,,,
,35,,1.0,,0.4931289553642273,,,,,,,,
,36,,1.0,,0.4691712260246277,,,,,,,,
,37,,1.0,,0.4713262617588043,,,,,,,,
,38,,1.0,,0.46990668773651123,,,,,,,,
,39,,1.0,,0.4819479286670685,,,,,,,,
2,700,1.0,,0.472455233335495,,,,,,,,,
